abduction,2.33,2.13,6.09,2.72
angry,2.27,1.51,7.46,2.04
abortion,3.15,2.39,5.85,3.09
anguished,1.55,0.83,6.2,2.8
absurd,4.7,1.3,4.65,1.93
ankle,5,1.6,4.04,1.86
abundance,6.55,1.9,5.1,2.53
annoy,2.61,1.99,6.48,2.5
abuse,1.46,1.03,6.88,2.83
answer,6.32,1.64,5.18,2.63
acceptance,8.18,1.56,4.86,3
anxious,4.81,2.04,7,1.74
accident,2.08,1.29,6.48,2.62
applause,7.62,1.6,5.77,2.98
ace,6.14,2.1,4.95,2.33
appliance,5.15,0.49,3.85,1.76
ache,2,1.11,4.77,2.62
arm,5.21,1.86,2.92,1.89
achievement,8,1.24,5.97,2.8
army,4.55,1.99,5.42,2.04
activate,5.31,0.97,5,2.55
aroused,7.96,0.96,6.77,2.61
addict,2.12,1.48,5.68,1.95
arrogant,2.9,1.71,6.1,1.62
addicted,2.29,1.49,5.09,2.67
art,7.5,1.44,5.08,3.13
admired,7.81,2.01,5.97,2.53
assassin,2.5,1.8,6.53,2.42
adorable,8.12,1.07,4.96,2.92
assault,1.78,1.35,7.7,2.32
adult,6.5,1.5,4.81,1.65
astonished,6.6,1.7,6.7,2.18
advantage,6.72,2.11,4.48,2.1
astronaut,6.54,1.58,5.62,2.1
adventure,8,1.17,7.05,1.85
athletics,6.45,2.16,5.45,2.37
affection,8.57,0.74,6.25,2.86
autumn,6.47,2.27,4.34,2.55
afraid,1.83,1.14,6.68,2.65
avalanche,2.95,1.7,5.8,2.55
aggressive,4.89,1.79,5.68,2.29
avenue,5.82,1.44,3.86,2.17
agility,6.24,1.55,5.07,1.77
awed,7.05,1.19,5.42,2.48
agony,2.41,2.15,6.34,2.62
baby,8.65,0.67,4.95,2.96
agreement,7.38,1.63,5.14,2.51
bake,6.05,2.06,5.45,2.06
air,6.23,1.54,3.64,2.19
bandage,5.05,1.56,4.19,2.23
alcoholic,2,1.36,6,2.12
bankrupt,1.85,1.16,6.56,2.77
alert,6.69,1.72,7,2.51
banner,5.45,0.96,4.19,2.02
alien,4.75,1.65,5.1,2.38
bar,5.91,1.93,4.78,2.81
alimony,4.62,2.16,5.14,2.1
barrel,4.83,1.27,3.04,1.85
alive,7.79,1.86,5.62,2.81
basket,5.31,1.09,3.88,2.01
allergy,2.95,1.53,4.68,2.48
bastard,3.44,2.21,5.94,2.02
alley,4.19,2.16,5.43,2.66
bath,7.42,1.55,3.58,2.58
alone,2.1,1.35,5.16,2.62
bathroom,5.19,1.27,3.92,1.57
aloof,4.68,1.93,4.54,2.27
bathtub,6.75,1.48,3.25,2.53
ambition,7.88,1.53,5.42,3.13
beach,7.65,1.95,4.45,3.28
ambulance,2.27,1.54,7.62,1.98
beast,3.5,2.11,5.21,2.84
angel,7.81,1.1,4.65,2.59
beautiful,8,1.03,5.95,2.24
anger,2,1.28,8.22,1.35
beauty,8.04,1.15,4.52,2.76
bed,7.15,1.54,3.19,2.23
bright,7.91,1.41,5.62,2.22
bees,3.15,2.11,6.31,2
broken,2.73,1.61,5.46,2.44
beggar,2.65,1.85,5.62,2.61
brother,7.26,2.45,4.3,2.88
bench,4.65,1.47,3.77,2.27
brutal,2.46,1.84,7.36,1.87
bereavement,4.52,1.85,4.5,1.89
building,5.04,1.04,3.77,1.77
betray,1.6,0.96,7.28,2.09
bullet,2.45,1.82,5.48,2.71
beverage,6.86,1.46,5.14,2.37
bunny,7.7,1.38,3.8,2.65
bird,7.41,1.35,3.39,2.31
burdened,2.38,1.5,5.72,2.01
birthday,8.13,0.97,6.74,2.14
burial,1.77,1.07,5.32,2.32
black,4.88,2.03,4.68,2.32
burn,2.35,1.35,6.04,1.99
blackmail,2.93,2.09,6.31,2.66
bus,4.31,1.81,3.77,1.61
bland,4.09,1.15,3.14,1.61
busybody,5.52,2.58,5.36,2.74
blase,4.79,1.03,3.58,1.77
butter,5.31,1.29,3.12,1.9
blasphemy,3.83,2.43,5.25,2.31
butterfly,7.48,1.2,3.48,2.59
bless,7.73,1,4,2.83
cabinet,5,0.31,3.57,1.91
blind,3.35,2.11,4.95,2.39
cake,7.26,1.36,4.91,2.48
bliss,6.8,2.53,4.12,2.79
cancer,1.41,0.8,6.26,3.01
blister,2.25,1.33,4.4,2.58
candy,6.96,2.47,4.96,2.47
blond,6.2,1.51,4,2.2
cane,4.36,1.62,4,2
bloody,2.08,1.16,6.5,1.63
cannon,4.05,1.64,4.25,2.83
blossom,7.09,1,4.61,2.35
capable,7.26,1.45,4.74,2.26
blubber,3.31,1.93,4.58,2.56
car,7.62,1.92,6.81,1.77
blue,6.38,1.96,4.62,2.32
carcass,2.59,1.71,4.59,2.3
board,5,1.23,3.56,2.22
carefree,7.45,1.4,4.82,2.79
body,5.38,2.32,5.46,2.55
caress,7.94,1.11,5.39,2.89
bold,7,1.55,5.94,2.02
cash,8.46,1.07,7.65,1.5
bomb,1.9,1.14,7.31,2.42
casino,6.71,1.55,6.27,2.27
book,5.55,1.19,4.2,2.73
cat,6.08,2.26,4.65,2.17
bored,3.05,1.28,2.8,2.4
cell,4.27,1.34,4.46,1.9
bottle,6.21,1.47,4.26,2.7
cellar,4.21,1.79,4.46,2.28
bouquet,7.55,1.54,5.85,2.54
cemetery,2.22,1.24,5,2.88
bowl,5.54,1.48,3.5,2.16
chair,5,1,3.07,1.77
boxer,4.92,1.9,5.04,2.31
champ,7.15,2.31,5.85,2.94
boy,6.91,1.73,5.13,2.42
champion,8.45,0.83,6.29,2.98
brave,7.55,1,6.35,2.32
chance,5.72,1.86,5.4,2.55
breast,5.43,1.12,4.43,2.04
chaos,3.86,2.53,7,2.25
breeze,7.2,1.36,4.45,2.54
charm,6.83,1.58,5,2.19
bride,7.88,1.33,6.25,2.74
cheer,8.5,0.76,6.3,2.58
child,8,1.12,5.35,2.74
corrupt,2.52,1.81,4.52,2.2
chin,5.2,1.11,2.95,1.82
cottage,6.83,1.7,2.87,2.42
chocolate,6.96,1.99,5.69,2.41
couple,7.96,2.03,7.38,1.75
christmas,7.96,1.51,6.42,2.52
cow,5.42,1.45,3.85,2.11
church,6.81,1.94,4.16,2.1
coward,2.73,1.55,4.23,2.31
circle,6,1.27,4.24,2.19
cozy,7.3,1.66,3.04,2.25
circus,7.75,2,6.45,2.65
crash,2.21,1.42,6.93,2.53
city,6.26,1.25,5.7,2.74
crime,2.33,1.52,5.75,2.45
cliff,4.38,1.92,6.62,1.98
criminal,2.62,1.66,5.68,2.4
clock,5.45,1.28,4.1,2.77
crisis,1.72,1.37,6.08,3.09
clothing,6.88,1.59,5.12,2.86
crown,6.73,1.43,4.62,2.47
clouds,5.96,2.2,3.15,1.91
crucify,2.09,1.75,6.78,2.18
clumsy,3.96,2.36,5.46,2.49
crude,2.59,1.53,5.14,2.62
coarse,4.45,1.68,4.14,1.9
cruel,1.57,0.84,5.96,2.79
coast,5.92,2,4.42,2.23
crushed,1.86,1.28,5.41,3.02
cockroach,2.38,2.03,6.47,2.81
crutch,3.08,1.55,3.88,2.23
coffin,2.41,1.92,5.28,2.79
cuddle,8.15,1.6,3.7,2.52
coin,6.3,1.49,4.1,2.22
cuisine,6.46,1.36,4.08,2
cold,4.14,2.08,5,2.56
curious,5.82,1.7,5.82,1.49
color,7,1.54,4.82,2.63
curtains,4.68,0.99,3.68,1.73
column,5.18,0.66,3.55,1.82
custom,6.04,1.59,4.65,2.1
comedy,8.57,0.9,5.61,3.12
cut,3.58,2.26,5.21,2.21
comfort,7.61,1.97,3.74,2.8
cute,7.95,0.94,4.85,2.96
computer,6.35,1.26,4.96,1.8
cyclone,3,2.4,6.48,2.9
concentrate,5.39,1.34,4.61,2.37
dagger,2.6,1.26,6.58,2.44
confident,8.12,1.31,6.04,2.39
damage,2.45,1.34,6.05,2.21
confused,3.17,1.8,6.27,1.86
dancer,7.46,1.56,6.65,1.92
consoled,5.85,1.66,4.2,2.38
danger,1.85,1.29,7.42,2.34
contempt,3.72,2.23,5.41,2.31
dark,4.52,2.84,4.29,2.45
