abduction,3.19,1.94,4.95,1.99
angry,3.87,1.55,6.67,2.09
abortion,4,2.11,4.72,2.22
anguished,2.7,1.89,4.45,2.33
absurd,3.86,2.14,4.09,2.43
ankle,5.63,1.42,4.53,2.09
abundance,6.62,2.16,5.9,2.72
annoy,3,1.41,6.5,1.45
abuse,2.78,1.3,6.67,2.4
answer,7,1.7,5.68,2.21
acceptance,7.75,1.25,6,2.25
anxious,4.8,1.93,6.7,2.06
accident,2,1.06,5.94,3.27
applause,7.33,1.37,5.83,2.57
ace,7.7,1.34,6.35,2.62
appliance,5.05,1.62,4.23,2.33
ache,3,1.76,5.26,2.28
arm,5.5,1.79,4.4,2.74
achievement,7.58,1.73,4.42,2.61
army,4.9,1.52,4.65,2.01
activate,5.89,0.93,4.44,2.7
aroused,8,1.15,6.22,3.07
addict,2.84,2.53,5.64,2.56
arrogant,4.69,2.8,5.12,2.74
addicted,2.75,1.33,4.5,2.24
art,5.7,2.36,4.6,2.6
admired,7.6,1.45,6.4,1.99
assassin,4.33,2.19,5.73,2.74
adorable,7.35,1.37,5.38,2.39
assault,2.55,1.86,7.17,2.25
adult,6.48,1.53,4.72,2.25
astonished,6.5,1.55,6.44,2.34
advantage,7.26,1.45,5.37,1.98
astronaut,6.79,1.64,4.92,2.1
adventure,7.23,1.69,6.91,2.43
athletics,6.76,2.05,6.71,2.08
affection,7.9,0.99,6.1,2.56
autumn,5.93,1.83,4.87,2.45
afraid,2.42,1.56,6.67,2.35
avalanche,3.62,2.16,5.29,2.22
aggressive,5.58,1.31,6.17,2.48
avenue,5.15,1.23,4.4,1.85
agility,7.1,1.52,4.2,1.81
awed,6.35,1.5,6.05,2.16
agony,2.47,2.29,5.47,2.77
baby,7.71,1.49,6.25,2.49
agreement,6.74,1.52,4.89,1.94
bake,6.32,1.25,4.7,2.54
air,6.47,1.61,4.68,2.36
bandage,4,1.81,3.8,1.77
alcoholic,3.72,2.81,5.36,2.6
bankrupt,2.24,1.52,5.71,2.82
alert,5.55,1.64,6.65,2.6
banner,5.35,0.67,3.65,1.73
alien,6.36,1.65,5.77,1.93
bar,7,2.08,5.5,2.7
alimony,3.21,1.55,3.67,2.13
barrel,5.3,1.66,3.75,2.71
alive,6.6,2.48,5.35,2.72
basket,5.6,1.22,3.36,2.04
allergy,3.2,1.79,4.6,2.23
bastard,3.2,2.11,6.38,2.5
alley,4.76,1.76,4.62,1.91
bath,7.24,1.36,4.76,1.85
alone,3.07,2.34,4.13,2.72
bathroom,5.92,1.38,3.84,1.89
aloof,5.24,1.92,3.88,1.8
bathtub,6.64,1.68,5.36,2.26
ambition,5.95,1.99,5.85,2.7
beach,8.47,0.87,6.88,2.19
ambulance,3,1.33,6.6,1.78
beast,5.1,2.51,6,2.29
angel,6.8,2.35,5.3,2.83
beautiful,7.23,2,6.36,2.46
anger,2.87,1.25,6.73,2.31
beauty,7.47,1.13,5.6,2.16
bed,7.88,1.09,4.04,2.85
bright,7.05,1.61,5.45,2.21
bees,3.24,2.07,6.72,2.3
broken,3.5,2.26,5.39,2.45
beggar,3.95,2.04,4,1.92
brother,6.83,1.53,5.55,2.07
bench,4.56,1.34,3.33,1.78
brutal,3.25,1.94,5.65,2.6
bereavement,4.63,1.54,4.26,2.16
building,5.56,1.23,4.08,2.12
betray,1.85,1.14,7.17,2.08
bullet,4.2,1.96,5.45,1.99
beverage,6.8,1.54,5.55,2.37
bunny,6.71,1.05,4.38,2.6
bird,6.92,1.38,2.67,2.02
burdened,2.71,0.91,5.46,2.26
birthday,7.4,2.82,6.6,2.13
burial,2.62,1.85,4.64,2.56
black,5.92,1.38,4.54,2.21
burn,3.12,1.99,6.4,1.85
blackmail,3,1.56,5.2,2.78
bus,4.72,1.28,3.32,1.99
bland,4.1,1.02,3.45,2.19
busybody,4.81,1.21,4.29,1.93
blase,5,1.32,4.35,1.69
butter,5.4,0.97,3.3,1.77
blasphemy,3.65,2.11,4.55,2.37
butterfly,6.58,1,3.45,2.02
bless,6.35,2.18,4.12,2.29
cabinet,5.1,0.31,3.45,1.7
blind,2.71,1.83,3.69,2.18
cake,7.27,1.16,5.13,2.26
bliss,7.17,1.79,5.06,3.06
cancer,1.75,0.97,6.83,2.37
blister,3.48,1.91,3.81,2.11
candy,6,1.34,4.1,2.27
blond,6.64,2.44,6.05,2.79
cane,3.58,1.95,4.42,1.87
bloody,3.76,2.3,6.32,2.36
cannon,5.71,2.39,5.14,2.85
blossom,7.53,1.41,5.67,3.02
capable,7,1.31,5.6,1.68
blubber,3.83,2.09,4.56,2.15
car,7.84,1.28,5.64,2.16
blue,7.16,1.52,4,2.08
carcass,4.21,1.81,5.11,1.79
board,4.58,1.22,3.26,1.94
carefree,7.75,1.36,2.67,2.42
body,5.75,2.47,5.6,2.78
caress,7.58,1.31,4.5,3.32
bold,6.25,1.71,4.75,2.53
cash,8.28,0.94,7.08,2.77
bomb,2.7,1.16,6.7,2.41
casino,6.9,1.79,6.76,1.97
book,5.9,1.83,4.15,2.3
cat,5.33,2.6,4.08,2.32
